channel_name,channel_id,stream_url,logo_url,categories,country,is_live
24 Hour Free Movies,24HourFreeMovies.us,https://watchtvs.live/iptv/watch.html?id=24HourFreeMovies.us,https://i.imgur.com/iSVnzR1.png,movies,US,true
24Kitchen,24Kitchen.us,https://watchtvs.live/iptv/watch.html?id=24Kitchen.us,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/24Kitchen.png/960px-24Kitchen.png,cooking,US,true
30A Darcizzle Offshore,30ADarcizzleOffshore.us,https://watchtvs.live/iptv/watch.html?id=30ADarcizzleOffshore.us,https://i.imgur.com/Q4l2uao.png,outdoor,US,true
30A Georgia Hollywood Review,30AGeorgiaHollywoodReview.us,https://watchtvs.live/iptv/watch.html?id=30AGeorgiaHollywoodReview.us,https://images.axios.com/JiG3RuYBwpU_WZFeU6HHjt03FAU=/111x0:1191x1080/320x320/2023/11/09/1699558891265.jpg,entertainment; news,US,true
30A Golf Kingdom,30AGolfKingdom.us,https://watchtvs.live/iptv/watch.html?id=30AGolfKingdom.us,https://golfkingdom.net/wp-content/uploads/2022/04/golf-kingdom-st.jpg,sports,US,true
30A Investment Pitch,30AInvestmentPitch.us,https://watchtvs.live/iptv/watch.html?id=30AInvestmentPitch.us,https://i.imgur.com/CKCtZo7.png,business,US,true
30A Lionel Nation,30ALionelNation.us,https://watchtvs.live/iptv/watch.html?id=30ALionelNation.us,https://m.media-amazon.com/images/I/71dgsQwVcNL.png,news,US,true
30A Loomered TV,30ALoomeredTV.us,https://watchtvs.live/iptv/watch.html?id=30ALoomeredTV.us,https://cbs12.com/resources/media/0c1ecad8-fb09-4bb2-beaa-fc561dfe624a-small21x9_LoomerStill.jpg?1603419052801,news; documentary,US,true
30A Luxe Life Discovered,30ALuxeLifeDiscovered.us,https://watchtvs.live/iptv/watch.html?id=30ALuxeLifeDiscovered.us,https://m.media-amazon.com/images/I/51FJ5A0mEyL.jpg,lifestyle,US,true
30A Music,30AMusic.us,https://watchtvs.live/iptv/watch.html?id=30AMusic.us,https://i.imgur.com/gNWg9tl.png,music,US,true
